0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
자치구별(1),자치구별(2),2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
자치구별(1),자치구별(2),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명),0세-18세 (명)
자치구별(1),자치구별(2),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%),소계,구성비 (%)
합계,소계,2527901,24.5,2434051,23.7,2354800,23.1,2300473,22.6,2258385,22.2,2206409,21.7,2162997,21.2,2121962,20.8,2079197,20.4,2030886,19.9,1969884,19.1,1901391,18.6,1838735,18,1771163,17.5,1708674,16.9,1645801,16.4,1576062,15.9,1510311,15.3,1437449,14.7,1370602,14.1,1310205,13.6,1255170,13.2,1208208,12.8
합계,종로구,41299,22.2,39753,21.6,38300,21.1,37115,20.9,35504,20.4,33682,19.9,32290,19.4,31419,18.9,31924,18.7,30313,18,28779,16.9,27521,16.3,25974,15.7,24349,15.2,22842,14.5,21741,14,20549,13.5,20097,13,19179,12.5,18167,12,17058,11.4,16062,11.1,15246,10.8
합계,중구,29790,21.1,29237,20.4,27345,19.8,26106,19.4,25064,19,24068,18.5,23419,17.9,22864,17.6,22545,17.3,21565,16.7,20898,15.7,20155,15.1,19438,14.6,18204,14,17017,13.3,15993,12.7,15342,12.2,14878,11.8,14145,11.3,13494,10.7,12650,10.1,11899,9.7,11418,9.5
합계,용산구,51304,21.4,50363,20.9,47632,20.3,46112,19.9,45070,19.6,44284,19.2,43791,18.9,43837,18.6,43357,18.2,42259,17.7,40936,16.7,40462,16.4,39274,16.1,37689,15.7,35684,15.1,34449,14.8,32762,14.2,31096,13.6,29557,12.9,28214,12.3,27060,11.8,25567,11.5,24516,11.2
합계,성동구,80927,23.7,78200,22.9,76201,22.4,73712,21.7,72307,21.3,70520,20.9,68274,20.4,66686,20,61888,19.7,58911,19.1,56152,18.2,52794,17.6,50932,17,49271,16.5,47090,15.9,45822,15.4,44725,14.9,44024,14.4,42774,13.9,40214,13.4,37495,12.8,35730,12.5,34345,12.2
합계,광진구,98057,25.1,94108,24.2,90778,23.5,88335,22.9,85529,22.5,82452,22,80087,21.4,78403,20.8,76011,20.2,73045,19.5,69850,18.6,66941,18,64526,17.4,61492,16.7,58255,16,55830,15.5,53201,14.9,50923,14.2,48510,13.6,45248,12.9,42214,12.2,39701,11.7,37876,11.2
합계,동대문구,85242,22.4,82975,21.7,80577,21.1,79295,20.7,76872,20.3,75333,19.8,73128,19.3,71697,19,68943,18.6,65726,18.1,63469,17.3,61355,16.8,59135,16.3,57291,15.7,55524,15.3,53088,14.7,50391,14.2,47641,13.6,45602,13.1,43391,12.5,41131,12,39376,11.7,38236,11.4
